timestamp,button_1_pressed,button_power_pressed,button_2_pressed
1741365214378683494,False,False,False
1741365215408233058,False,False,False
1741365216444101096,False,False,False
1741365217486963804,False,False,False
1741365218513329651,False,False,False
1741365219561728635,False,False,False
1741365220604516270,False,False,False
1741365221651363894,False,False,False
1741365222672896332,False,False,False
1741365223714851232,False,False,False
1741365224763963396,False,False,False
1741365225809744565,False,False,False
1741365226833063675,False,False,False
1741365227858612435,False,False,False
1741365228898977625,False,False,False
1741365229940010865,False,False,False
1741365230958847359,False,False,False
1741365231998728979,False,False,False
1741365233053799173,False,False,False
1741365234096512235,False,False,False
1741365235123469892,False,False,False
1741365236165685402,False,False,False
1741365237203657072,False,False,False
1741365238257869440,False,False,False
1741365239279361433,False,False,False
1741365240319331681,False,False,False
1741365241363854285,False,False,False
1741365242421571683,False,False,False
1741365243439963125,False,False,False
1741365244476658341,False,False,False
1741365245504330586,False,False,False
1741365246543223694,False,False,False
1741365247567362038,False,False,False
1741365248609692288,False,False,False
1741365249651738595,False,False,False
1741365250690503982,False,False,False
1741365251728644632,False,False,False
1741365252765345571,False,False,False
1741365253810639614,False,False,False
1741365254850824583,False,False,False
1741365255860758438,False,False,False
1741365256913232114,False,False,False
1741365257951431097,False,False,False
1741365258994498046,False,False,False
1741365260020281934,False,False,False
1741365261072146688,False,False,False
1741365262111932438,False,False,False
